"","ID_","n"
"1",3,1
"2",21,1
"3",38,1
"4",40,1
"5",49,1
"6",66,1
"7",70,1
"8",79,1
"9",94,1
"10",98,1
"11",113,1
"12",134,1
"13",147,1
"14",150,1
"15",153,1
"16",161,1
"17",163,1
"18",166,1
"19",175,1
"20",177,1
"21",183,1
"22",187,1
"23",203,1
"24",225,1
"25",246,1
"26",272,1
"27",285,1
"28",287,1
"29",296,1
"30",315,1
"31",335,1
"32",339,1
"33",341,1
"34",367,1
"35",370,1
"36",373,1
"37",393,1
"38",394,1
"39",409,1
"40",411,1
"41",412,1
"42",421,1
"43",423,1
"44",424,1
"45",427,1
"46",435,1
"47",437,1
"48",438,1
"49",445,1
"50",449,1
"51",454,1
"52",456,1
"53",465,1
"54",476,1
"55",477,1
"56",485,1
"57",494,1
"58",499,1
"59",500,1
"60",501,1
"61",503,1
"62",504,1
"63",507,1
"64",511,1
"65",512,1
"66",513,1
"67",528,1
"68",535,1
"69",537,1
"70",541,1
"71",545,1
"72",546,1
"73",549,1
"74",554,1
"75",558,1
"76",569,1
"77",571,1
"78",575,1
"79",579,1
"80",598,1
"81",601,1
"82",606,1
"83",621,1
"84",626,1
"85",628,1
"86",634,1
"87",640,1
"88",648,1
"89",658,1
"90",90007,1
"91",90008,1
"92",90036,1
"93",90056,1
"94",90154,1
"95",90155,1
"96",90176,1
"97",90251,1
"98",90259,1
"99",90406,1
"100",90425,1
