"","bmi_nonmatches"
"1",39
"2",54
"3",80
"4",87
"5",139
"6",157
"7",168
"8",169
"9",170
"10",192
"11",194
"12",198
"13",215
"14",219
"15",224
"16",230
"17",242
"18",248
"19",249
"20",260
"21",265
"22",270
"23",274
"24",276
"25",280
"26",281
"27",286
"28",290
"29",312
"30",324
"31",332
"32",334
"33",354
"34",355
"35",363
"36",384
"37",399
"38",400
"39",413
"40",419
"41",434
"42",439
"43",440
"44",442
"45",450
"46",451
"47",453
"48",455
"49",458
"50",467
"51",471
"52",479
"53",480
"54",483
"55",484
"56",488
"57",489
"58",490
"59",495
"60",497
"61",505
"62",506
"63",514
"64",516
"65",519
"66",520
"67",522
"68",523
"69",527
"70",529
"71",531
"72",533
"73",534
"74",538
"75",543
"76",544
"77",547
"78",551
"79",556
"80",560
"81",562
"82",563
"83",564
"84",567
"85",578
"86",581
"87",582
"88",584
"89",585
"90",588
"91",593
"92",596
"93",599
"94",602
"95",603
"96",608
"97",610
"98",615
"99",616
"100",617
"101",619
"102",624
"103",625
"104",629
"105",631
"106",632
"107",636
"108",641
"109",642
"110",645
"111",647
"112",649
"113",655
"114",90004
"115",90011
"116",90039
"117",90048
"118",90073
"119",90090
"120",90104
"121",90106
"122",90135
"123",90226
"124",90266
"125",90313
"126",90346
"127",90349
"128",90530
"129",91008
"130",91118
